date,time_presence_nurse,time_presence_doctor,number_of_red_alerts,number_of_non_treated_red_alerts,number_of_orange_alerts,number_of_non_treated_orange_alerts,weekdays
2020-03-10,0.5,1.5,1.0,1.0,7,2.0,1
2020-03-11,1.5,1.0,5.0,0.0,21,3.0,1
2020-03-12,0.0,1.5,3.0,0.0,25,1.0,1
2020-03-13,0.0,0.0,4.0,1.0,54,1.0,1
2020-03-14,1.0,0.5,11.0,1.0,95,10.0,0
2020-03-15,0.0,0.0,17.0,2.0,140,13.0,0
2020-03-16,0.0,0.0,31.0,4.0,177,34.0,1
2020-03-17,4.0,2.5,31.0,2.0,330,197.0,1
2020-03-18,6.0,4.5,51.0,5.0,501,256.0,1
2020-03-19,13.0,4.0,62.0,5.0,637,314.0,1
2020-03-20,23.0,4.5,91.0,6.0,977,569.0,1
2020-03-21,41.5,9.0,161.0,16.0,1523,1465.0,0
2020-03-22,69.5,15.5,147.0,16.0,1754,3067.0,0
2020-03-23,92.5,21.0,244.0,17.0,2555,4975.0,1
2020-03-24,124.0,26.5,338.0,34.0,3438,7283.0,1
2020-03-25,149.0,35.5,479.0,34.0,4892,10404.0,1
2020-03-26,165.5,39.0,492.0,47.0,5951,9899.0,1
2020-03-27,143.0,31.0,354.0,181.0,4354,5053.0,1
2020-03-28,159.5,28.0,557.0,86.0,6030,4399.0,0
2020-03-29,169.5,35.0,571.0,41.0,6736,4068.0,0
2020-03-30,193.5,50.0,671.0,56.0,7542,4683.0,1
2020-03-31,236.0,47.5,936.0,47.0,8213,5063.0,1
2020-04-01,256.5,45.5,917.0,70.0,8557,4377.0,1
2020-04-02,260.5,46.5,934.0,61.0,8688,3962.0,1
2020-04-03,271.0,48.0,911.0,98.0,8993,3488.0,1
2020-04-04,223.5,29.5,813.0,64.0,8387,2994.0,0
2020-04-05,194.5,27.5,760.0,53.0,7867,2947.0,0
2020-04-06,208.5,40.0,729.0,53.0,7705,2604.0,1
2020-04-07,221.5,43.5,704.0,42.0,7679,2112.0,1
2020-04-08,259.0,33.5,774.0,61.0,7695,1713.0,1
2020-04-09,254.0,40.5,765.0,57.0,7429,1128.0,1
2020-04-10,273.5,40.0,652.0,41.0,6821,836.0,1
2020-04-11,251.0,30.5,648.0,41.0,6534,485.0,0
2020-04-12,248.0,33.0,571.0,30.0,6171,347.0,0
2020-04-13,226.0,38.0,541.0,21.0,5870,240.0,1
2020-04-14,248.0,33.5,542.0,26.0,5609,262.0,1
2020-04-15,253.5,31.5,506.0,24.0,5433,231.0,1
2020-04-16,233.0,31.0,517.0,47.0,5197,442.0,1
2020-04-17,243.5,31.0,458.0,31.0,5083,407.0,1
2020-04-18,224.0,24.5,463.0,26.0,4634,239.0,0
2020-04-19,210.5,21.5,416.0,27.0,4120,172.0,0
2020-04-20,213.0,33.0,395.0,10.0,4014,174.0,1
2020-04-21,230.0,25.0,390.0,20.0,3883,156.0,1
2020-04-22,204.5,26.0,172.0,14.0,4387,435.0,1
2020-04-23,183.5,29.0,159.0,9.0,3821,161.0,1
2020-04-24,172.0,27.5,141.0,8.0,3378,178.0,1
2020-04-25,166.5,20.5,150.0,10.0,3078,145.0,0
2020-04-26,157.0,20.0,129.0,13.0,2787,127.0,0
2020-04-27,154.0,23.0,121.0,13.0,2701,134.0,1
2020-04-28,168.5,17.0,102.0,3.0,2503,113.0,1
2020-04-29,134.0,19.0,102.0,3.0,2208,91.0,1
2020-04-30,139.0,19.0,96.0,5.0,2102,128.0,1
2020-05-01,103.5,15.5,223.0,10.0,1837,85.0,1
2020-05-02,113.5,15.5,261.0,16.0,1700,66.0,0
2020-05-03,114.5,16.5,198.0,13.0,1559,65.0,0
2020-05-04,86.5,14.5,172.0,33.0,1515,190.0,1
2020-05-05,73.5,18.5,150.0,10.0,1415,71.0,1
2020-05-06,75.0,17.5,145.0,9.0,1335,64.0,1
2020-05-07,74.5,18.0,125.0,6.0,1253,50.0,1
2020-05-08,67.0,25.0,115.0,7.0,1172,56.0,1
2020-05-09,70.5,19.5,107.0,7.0,1083,57.0,0
2020-05-10,68.5,14.0,79.0,11.0,922,64.0,0
2020-05-11,64.5,11.0,98.0,7.0,892,40.0,1
2020-05-12,75.5,12.5,97.0,10.0,989,57.0,1
2020-05-13,66.5,11.5,83.0,6.0,864,50.0,1
2020-05-14,71.5,9.0,78.0,3.0,783,45.0,1
2020-05-15,54.0,14.5,74.0,10.0,710,42.0,1
2020-05-16,62.5,13.0,117.0,7.0,669,39.0,0
2020-05-17,57.0,9.5,84.0,4.0,557,32.0,0
2020-05-18,47.5,10.5,170.0,3.0,412,19.0,1
2020-05-19,44.0,9.5,83.0,6.0,403,20.0,1
2020-05-20,43.5,6.5,61.0,5.0,391,19.0,1
2020-05-21,31.5,10.0,70.0,3.0,354,18.0,1
2020-05-22,26.5,11.0,54.0,5.0,314,19.0,1
2020-05-23,29.5,5.5,64.0,3.0,293,14.0,0
2020-05-24,26.0,3.5,56.0,7.0,280,14.0,0
2020-05-25,27.5,2.5,46.0,5.0,280,19.0,1
2020-05-26,29.0,5.5,45.0,4.0,254,18.0,1
2020-05-27,22.5,7.0,27.0,2.0,249,15.0,1
2020-05-28,20.0,5.5,36.0,2.0,227,9.0,1
2020-05-29,19.0,7.5,40.0,5.0,211,14.0,1
2020-05-30,22.5,6.0,31.0,3.0,241,12.0,0
2020-05-31,18.5,5.5,36.0,1.0,179,8.0,0
2020-06-01,24.0,5.5,29.0,2.0,178,15.0,1
2020-06-02,19.5,4.5,18.0,3.0,172,8.0,1
2020-06-03,19.0,3.0,18.0,1.0,147,3.0,1
2020-06-04,16.5,3.5,23.0,0.0,135,9.0,1
2020-06-05,17.5,3.0,21.0,0.0,119,7.0,1
2020-06-06,11.0,4.0,24.0,0.0,104,5.0,0
2020-06-07,9.5,4.0,21.0,0.0,88,5.0,0
2020-06-08,11.0,3.5,18.0,0.0,88,8.0,1
2020-06-09,9.0,3.0,8.0,0.0,76,2.0,1
2020-06-10,11.0,3.5,16.0,0.0,73,3.0,1
2020-06-11,10.5,2.0,13.0,2.0,77,5.0,1
2020-06-12,10.5,2.0,14.0,0.0,71,2.0,1
2020-06-13,9.0,2.0,12.0,0.0,49,1.0,0
2020-06-14,7.0,0.5,7.0,0.0,36,1.0,0
2020-06-15,7.5,1.5,6.0,1.0,45,5.0,1
2020-06-16,7.5,0.5,10.0,0.0,43,1.0,1
2020-06-17,7.0,1.5,11.0,0.0,38,0.0,1
2020-06-18,6.0,1.0,6.0,0.0,24,0.0,1
2020-06-19,5.0,2.5,6.0,0.0,38,0.0,1
2020-06-20,3.0,2.0,4.0,0.0,21,0.0,0
2020-06-21,4.0,0.5,3.0,0.0,23,0.0,0
2020-06-22,3.5,1.0,4.0,0.0,21,0.0,1
2020-06-23,1.5,2.0,7.0,0.0,18,0.0,1
2020-06-24,4.5,0.5,5.0,0.0,26,0.0,1
2020-06-25,3.5,1.5,5.0,0.0,22,0.0,1
2020-06-26,2.5,1.0,1.0,0.0,11,0.0,1
2020-06-27,2.5,1.0,2.0,0.0,25,0.0,0
2020-06-28,3.0,1.0,8.0,0.0,33,0.0,0
2020-06-29,2.5,2.0,3.0,0.0,22,0.0,1
2020-06-30,2.5,1.5,4.0,1.0,19,0.0,1
2020-07-01,2.5,1.5,6.0,1.0,31,0.0,1
2020-07-02,4.0,1.0,5.0,1.0,17,0.0,1
2020-07-03,5.5,0.0,3.0,0.0,24,0.0,1
2020-07-04,2.5,0.0,2.0,0.0,24,0.0,0
2020-07-05,2.5,0.5,9.0,0.0,8,0.0,0
2020-07-06,2.5,1.0,2.0,0.0,12,0.0,1
2020-07-07,2.0,0.5,2.0,0.0,12,0.0,1
2020-07-08,4.0,0.0,5.0,4.0,9,0.0,1
2020-07-09,3.5,1.0,9.0,2.0,23,2.0,1
2020-07-10,2.5,1.0,3.0,0.0,26,1.0,1
2020-07-11,2.0,1.0,0.0,0.0,15,0.0,0
2020-07-12,2.0,0.0,6.0,0.0,19,0.0,0
2020-07-13,2.0,0.5,5.0,0.0,24,0.0,1
2020-07-14,2.0,0.0,3.0,0.0,24,0.0,1
2020-07-15,4.5,1.0,6.0,2.0,33,0.0,1
2020-07-16,2.5,0.0,7.0,0.0,35,0.0,1
2020-07-17,2.5,0.0,6.0,1.0,31,0.0,1
2020-07-18,2.5,1.5,12.0,0.0,23,0.0,0
2020-07-19,2.5,0.5,5.0,0.0,20,0.0,0
2020-07-20,4.0,0.0,6.0,0.0,40,0.0,1
2020-07-21,5.5,0.0,21.0,1.0,45,0.0,1
2020-07-22,3.5,0.0,7.0,0.0,32,0.0,1
2020-07-23,4.5,0.0,14.0,0.0,44,0.0,1
2020-07-24,5.5,0.0,16.0,0.0,60,0.0,1
2020-07-25,4.5,0.0,4.0,0.0,30,0.0,0
2020-07-26,2.5,2.0,16.0,0.0,30,0.0,0
2020-07-27,4.5,1.0,10.0,0.0,57,0.0,1
2020-07-28,6.5,2.0,10.0,0.0,58,0.0,1
2020-07-29,7.0,1.0,20.0,0.0,75,0.0,1
2020-07-30,6.5,0.5,18.0,0.0,58,0.0,1
2020-07-31,5.0,0.0,22.0,1.0,54,0.0,1
2020-08-01,4.5,1.0,15.0,2.0,63,0.0,0
2020-08-02,5.0,1.5,21.0,2.0,54,0.0,0
2020-08-03,8.5,2.0,27.0,0.0,72,0.0,1
2020-08-04,9.0,0.5,25.0,1.0,63,0.0,1
2020-08-05,8.5,0.0,12.0,1.0,57,0.0,1
2020-08-06,8.0,0.5,34.0,0.0,92,1.0,1
2020-08-07,8.5,0.0,30.0,0.0,90,0.0,1
2020-08-08,6.5,1.5,25.0,0.0,79,0.0,0
2020-08-09,6.5,0.5,28.0,0.0,71,0.0,0
2020-08-10,9.0,1.5,31.0,0.0,80,0.0,1
2020-08-11,8.5,2.5,21.0,5.0,88,0.0,1
2020-08-12,8.5,0.5,24.0,0.0,60,0.0,1
2020-08-13,8.0,1.5,33.0,1.0,71,0.0,1
2020-08-14,9.5,1.0,24.0,0.0,84,0.0,1
2020-08-15,10.5,1.0,44.0,3.0,109,0.0,0
2020-08-16,6.0,1.0,17.0,1.0,50,0.0,0
2020-08-17,8.5,1.5,25.0,1.0,88,0.0,1
2020-08-18,8.5,2.0,53.0,0.0,112,0.0,1
2020-08-19,10.5,1.0,49.0,0.0,129,0.0,1
2020-08-20,12.0,0.0,33.0,1.0,127,0.0,1
2020-08-21,8.5,1.5,48.0,1.0,115,0.0,1
2020-08-22,8.0,0.5,30.0,0.0,111,0.0,0
2020-08-23,8.0,0.5,44.0,0.0,107,0.0,0
